List A,List B,Merged
"[5298, 2238, 5572, 2316]","[881, 2280, 1116, 2406]","[881, 2238, 5572, 2406]"
"[1300, 3695, 1530, 3823]","[1551, 2286, 1778, 2409]","[1300, 2286, 1778, 3823]"
"[3967, 3483, 4142, 3638]","[1553, 1601, 1720, 1727]","[1553, 1601, 4142, 3638]"
"[3219, 2279, 3446, 2406]","[2423, 2736, 2616, 2890]","[2423, 2279, 3446, 2890]"
"[1218, 3529, 1478, 3601]","[5306, 2698, 5526, 2824]","[1218, 2698, 5526, 3601]"
"[968, 2740, 1164, 2890]","[1223, 4085, 1446, 4209]","[968, 2740, 1446, 4209]"
"[3889, 3271, 4021, 3339]","[1550, 1188, 1821, 1349]","[1550, 1188, 4021, 3339]"
"[3886, 2279, 4013, 2407]","[2716, 1211, 2935, 1335]","[2716, 1211, 4013, 2407]"
"[3223, 2661, 3393, 2809]","[3466, 1594, 3600, 1726]","[3223, 1594, 3600, 2809]"
"[1547, 959, 1813, 1029]","[2713, 1431, 2971, 1499]","[1547, 959, 2971, 1499]"
"[2133, 3931, 2651, 4143]","[969, 2082, 1230, 2209]","[969, 2082, 2651, 4143]"
"[5303, 2919, 5599, 2990]","[1549, 1432, 1805, 1503]","[1549, 1432, 5599, 2990]"
"[1550, 2117, 1807, 2178]","[2418, 2467, 2554, 2604]","[1550, 2117, 2554, 2604]"
"[2132, 3530, 2345, 3604]","[3460, 1821, 3694, 1892]","[2132, 1821, 3694, 3604]"
"[1547, 2655, 1723, 2809]","[5295, 2525, 5551, 2601]","[1547, 2525, 5551, 2809]"
"[1550, 1821, 1778, 1891]","[2720, 1823, 2932, 1892]","[1550, 1821, 2932, 1892]"
"[3128, 3530, 3339, 3603]","[5300, 3184, 5436, 3263]","[3128, 3184, 5436, 3603]"
"[3215, 2111, 3431, 2180]","[3882, 2112, 4117, 2181]","[3215, 2111, 4117, 2181]"
"[2132, 3693, 2264, 3825]","[5298, 2238, 5573, 2316]","[2132, 2238, 5573, 3825]"
"[1552, 2500, 1799, 2573]","[969, 2339, 1250, 2517]","[969, 2339, 1799, 2573]"
"[971, 2556, 1192, 2687]","[3217, 2506, 3491, 2573]","[971, 2506, 3491, 2687]"
"[2714, 1599, 2994, 1730]","[1218, 3919, 1483, 3990]","[1218, 1599, 2994, 3990]"
"[1213, 3697, 1346, 3824]","[972, 2267, 1180, 2307]","[972, 2267, 1346, 3824]"
"[1553, 2277, 1781, 2406]","[536, 1732, 620, 2007]","[536, 1732, 1781, 2406]"
"[1821, 877, 1935, 1055]","[2189, 2339, 2299, 2441]","[1821, 877, 2299, 2441]"
"[4962, 2593, 5078, 2700]","[3294, 4063, 3409, 4179]","[3294, 2593, 5078, 4179]"
"[1782, 3126, 1937, 3212]","[2480, 3044, 2641, 3127]","[1782, 3044, 2641, 3212]"
"[1700, 2591, 1814, 2695]","[4836, 4217, 4952, 4322]","[1700, 2591, 4952, 4322]"
"[2193, 4306, 2296, 4409]","[2482, 3708, 2601, 3813]","[2193, 3708, 2601, 4409]"
"[5517, 3878, 5629, 3982]","[1058, 436, 1147, 582]","[1058, 436, 5629, 3982]"
"[1009, 3789, 1120, 3899]","[1209, 3301, 1320, 3406]","[1009, 3301, 1320, 3899]"
"[368, 382, 482, 505]","[4799, 3447, 4914, 3553]","[368, 382, 4914, 3553]"
"[2488, 2276, 2637, 2356]","[5392, 376, 5499, 468]","[2488, 376, 5499, 2356]"
"[1781, 3811, 1936, 3894]","[2933, 657, 3043, 812]","[1781, 657, 3043, 3894]"
"[1936, 3804, 2151, 3883]","[1823, 424, 1914, 554]","[1823, 424, 2151, 3883]"
"[510, 2612, 642, 2709]","[962, 1995, 1131, 2103]","[510, 1995, 1131, 2709]"
"[5822, 2515, 5957, 2618]","[2179, 3817, 2302, 3876]","[2179, 2515, 5957, 3876]"
"[5718, 3114, 5829, 3213]","[5903, 3126, 6046, 3193]","[5718, 3114, 6046, 3213]"
"[2641, 2269, 2847, 2343]","[6191, 2533, 6326, 2592]","[2641, 2269, 6326, 2592]"
"[1459, 2611, 1660, 2678]","[905, 4236, 1037, 4301]","[905, 2611, 1660, 4301]"
"[6188, 3122, 6328, 3213]","[1587, 3106, 1703, 3222]","[1587, 3106, 6328, 3222]"
"[1154, 3803, 1356, 3888]","[4265, 3469, 4400, 3560]","[1154, 3469, 4400, 3888]"
"[3422, 2271, 3628, 2340]","[3668, 2256, 3773, 2353]","[3422, 2256, 3773, 2353]"
"[671, 2605, 883, 2687]","[14430, 3463, 4630, 3541]","[671, 2605, 4630, 3541]"
"[3964, 3383, 4107, 3472]","[4521, 4207, 4710, 4329]","[3964, 3383, 4710, 4329]"
"[4643, 3445, 4756, 3552]","[673, 2011, 876, 2089]","[673, 2011, 4756, 3552]"
"[3732, 3374, 3942, 3459]","[1944, 3119, 2153, 3198]","[1944, 3119, 3942, 3459]"
"[1820, 587, 1938, 792]","[3730, 2693, 3943, 2773]","[1820, 587, 3943, 2773]"
"[1638, 3817, 1754, 3932]","[5952, 2521, 6168, 2607]","[1638, 2521, 6168, 3932]"
"[1946, 874, 2472, 1088]","[2163, 2156, 2321, 2344]","[1946, 874, 2472, 2344]"
"[4932, 2267, 5107, 2478]","[3266, 3675, 3431, 3890]","[3266, 2267, 5107, 3890]"
"[1798, 2840, 1885, 3112]","[2500, 2761, 2582, 3025]","[1798, 2761, 2582, 3112]"
"[1673, 2392, 1841, 2603]","[4811, 4016, 4980, 4232]","[1673, 2392, 4980, 4232]"
"[2166, 4118, 2314, 4314]","[2461, 3525, 2621, 3714]","[2166, 3525, 2621, 4314]"
"[5489, 3667, 5654, 3883]","[1163, 454, 1422, 525]","[1163, 454, 5654, 3883]"
"[984, 3589, 1142, 3794]","[1182, 2904, 1343, 3109]","[984, 2904, 1343, 3794]"
"[473, 414, 619, 488]","[4782, 3275, 4938, 3447]","[473, 414, 4938, 3447]"
"[2498, 1985, 2581, 2263]","[5690, 337, 5886, 500]","[2498, 337, 5886, 2263]"
"[1762, 3485, 1927, 3804]","[3037, 652, 3320, 810]","[1762, 652, 3320, 3804]"
"[1980, 3565, 2108, 3799]","[1929, 453, 2147, 528]","[1929, 453, 2147, 3799]"
"[536, 2350, 618, 2607]","[960, 1469, 1163, 2014]","[536, 1469, 1163, 2607]"
"[5858, 2360, 5931, 2515]","[2209, 3572, 2281, 3798]","[2209, 2360, 5931, 3798]"
"[5705, 2895, 5841, 3115]","[5934, 2895, 6007, 3108]","[5705, 2895, 6007, 3115]"
"[2672, 2027, 2806, 2263]","[6219, 2288, 6297, 2514]","[2672, 2027, 6297, 2514]"
"[1494, 2360, 1622, 2602]","[937, 4000, 1009, 4221]","[937, 2360, 1622, 4221]"
"[6216, 2862, 6298, 3110]","[1576, 2878, 1707, 3120]","[1576, 2862, 6298, 3120]"
"[1199, 3552, 1328, 3800]","[4293, 3198, 4373, 3446]","[1199, 3198, 4373, 3800]"
"[3458, 2023, 3590, 2261]","[3637, 2056, 3800, 2260]","[3458, 2023, 3800, 2261]"
"[710, 2365, 838, 2605]","[4464, 3202, 4604, 3458]","[710, 2365, 4604, 3458]"
"[3994, 3094, 4074, 3363]","[4544, 4086, 4672, 4225]","[3994, 3094, 4672, 4225]"
"[4656, 3299, 4730, 3448]","[710, 1752, 841, 2001]","[710, 1752, 4730, 3448]"
"[3770, 3120, 3903, 3370]","[1975, 2857, 2112, 3112]","[1975, 2857, 3903, 3370]"
"[1929, 629, 2107, 762]","[3773, 2434, 3904, 2686]","[1929, 629, 3904, 2686]"
"[1678, 3567, 1722, 3783]","[5997, 2287, 6122, 2517]","[1678, 2287, 6122, 3783]"
"[5679, 2518, 5790, 2614]","[674, 4228, 876, 4313]","[674, 2518, 5790, 4313]"
"[1110, 4213, 1234, 4331]","[2167, 2454, 2233, 2519]","[1110, 2454, 2233, 4331]"
"[2717, 2389, 2785, 2455]","[1318, 1949, 1383, 2019]","[1318, 1949, 2785, 2455]"
"[2701, 578, 2772, 644]","[2837, 1617, 2904, 1684]","[2701, 578, 2904, 1684]"
"[3523, 1079, 3626, 1133]","[654, 2367, 721, 2433]","[654, 1079, 3626, 2433]"
"[942, 1117, 1012, 1183]","[2992, 1167, 3066, 1234]","[942, 1117, 3066, 1234]"
"[1366, 818, 1433, 909]","[514, 2018, 624, 2082]","[514, 818, 1433, 2082]"
"[1065, 2099, 1119, 2176]","[2148, 419, 2219, 482]","[1065, 419, 2219, 2176]"
"[2014, 1929, 2072, 2023]","[2300, 1183, 2393, 1232]","[2014, 1183, 2393, 2023]"
"[1363, 546, 1418, 622]","[464, 1467, 550, 1533]","[464, 546, 1418, 1533]"
"[1267, 400, 1329, 467]","[3309, 2169, 3380, 2233]","[1267, 400, 3380, 2233]"
"[2841, 1178, 2978, 1221]","[251, 2032, 322, 2067]","[251, 1178, 2978, 2067]"
"[3520, 1634, 3606, 1671]","[2714, 2095, 2768, 2173]","[2714, 1634, 3606, 2173]"
"[1778, 1369, 1849, 1436]","[245, 2379, 327, 2433]","[245, 1369, 1849, 2433]"
"[3292, 1636, 3386, 1684]","[1860, 2032, 1946, 2084]","[1860, 1636, 3386, 2084]"
"[2386, 1177, 2522, 1224]","[251, 333, 328, 369]","[251, 333, 2522, 1224]"
"[3382, 1625, 3512, 1674]","[1533, 2099, 1568, 2174]","[1533, 1625, 3512, 2174]"
"[346, 2026, 466, 2072]","[2164, 2338, 2218, 2405]","[346, 2026, 2218, 2405]"
"[1378, 643, 1424, 763]","[343, 1127, 470, 1174]","[343, 643, 1424, 1174]"
"[2921, 1628, 3054, 1677]","[3510, 2180, 3606, 2236]","[2921, 1628, 3606, 2236]"
"[357, 1770, 458, 1829]","[2026, 1782, 2078, 1909]","[357, 1770, 2078, 1909]"
"[2724, 2190, 2774, 2322]","[798, 1127, 921, 1170]","[798, 1127, 2774, 2322]"
"[246, 1477, 327, 1530]","[230, 1770, 299, 1828]","[230, 1477, 327, 1828]"
"[3207, 1637, 3279, 1702]","[3423, 539, 3504, 586]","[3207, 539, 3504, 1702]"
"[343, 323, 468, 375]","[2117, 1383, 2203, 1434]","[343, 323, 2203, 1434]"
"[5666, 2281, 5803, 2518]","[714, 3988, 840, 4223]","[714, 2281, 5803, 4223]"
"[1119, 3940, 1227, 4224]","[2232, 2442, 2335, 2534]","[1119, 2442, 2335, 4224]"
"[2780, 2378, 2883, 2470]","[1377, 1963, 1464, 2007]","[1377, 1963, 2883, 2470]"
"[2689, 352, 2787, 479]","[2823, 1500, 2916, 1620]","[2689, 352, 2916, 1620]"
"[3538, 909, 3585, 1074]","[638, 2176, 738, 2297]","[638, 909, 3585, 2297]"
"[930, 999, 1026, 1119]","[2981, 1052, 3076, 1175]","[930, 999, 3076, 1175]"
"[1429, 809, 1736, 934]","[516, 1696, 632, 2033]","[516, 809, 1736, 2033]"
"[1132, 2118, 1273, 2160]","[2162, 332, 2207, 424]","[1132, 332, 2207, 2160]"
"[2082, 1941, 2233, 1983]","[2315, 1013, 2360, 1174]","[2082, 1013, 2360, 1983]"
"[1430, 566, 1556, 608]","[457, 1300, 552, 1468]","[457, 566, 1556, 1468]"
"[1331, 414, 1414, 456]","[3309, 2046, 3384, 2169]","[1331, 414, 3384, 2169]"
"[2875, 1028, 2948, 1177]","[266, 1890, 308, 2019]","[266, 1028, 2948, 2019]"
"[3538, 1486, 3584, 1618]","[2782, 2115, 2904, 2159]","[2782, 1486, 3584, 2159]"
"[1780, 1202, 1842, 1371]","[163, 2467, 236, 2630]","[163, 1202, 1842, 2630]"
"[3283, 1441, 3378, 1622]","[1882, 1869, 1929, 2018]","[1882, 1441, 3378, 2018]"
"[2418, 1037, 2494, 1175]","[267, 189, 308, 319]","[267, 189, 2494, 1175]"
"[3409, 1484, 3483, 1623]","[1580, 2115, 1709, 2158]","[1580, 1484, 3483, 2158]"
"[366, 1875, 445, 2021]","[2227, 2348, 2392, 2395]","[366, 1875, 2392, 2395]"
"[1429, 664, 1570, 743]","[367, 986, 444, 1120]","[367, 664, 1570, 1120]"
"[2950, 1477, 3029, 1623]","[3538, 2018, 3584, 2173]","[2950, 1477, 3584, 2173]"
"[380, 1591, 444, 1775]","[2080, 1807, 2220, 1887]","[380, 1591, 2220, 1887]"
"[2779, 2215, 2915, 2296]","[822, 982, 901, 1124]","[822, 982, 2915, 2296]"
"[266, 1316, 308, 1465]","[241, 1685, 286, 1779]","[241, 1316, 308, 1779]"
"[3229, 1487, 3260, 1618]","[3440, 380, 3485, 522]","[3229, 380, 3485, 1618]"
"[367, 175, 446, 324]","[2139, 1245, 2185, 1374]","[367, 175, 2185, 1374]"
"[3380, 1074, 3512, 1127]","[6334, 957, 6483, 1088]","[3380, 957, 6483, 1127]"
"[4500, 3611, 4640, 3745]","[1341, 3840, 1469, 3967]","[1341, 3611, 4640, 3967]"
"[993, 3020, 1180, 3124]","[1872, 722, 2005, 851]","[993, 722, 2005, 3124]"
"[4501, 4856, 4640, 4990]","[1342, 4834, 1465, 4967]","[1342, 4834, 4640, 4990]"
"[5153, 1896, 5300, 2030]","[1332, 444, 1471, 574]","[1332, 444, 5300, 2030]"
"[7161, 4045, 7292, 4171]","[1352, 1294, 1466, 1408]","[1352, 1294, 7292, 4171]"
"[2512, 4963, 2641, 5088]","[4507, 1287, 4643, 1414]","[2512, 1287, 4643, 5088]"
"[5166, 4225, 5307, 4353]","[1216, 2080, 1391, 2210]","[1216, 2080, 5307, 4353]"
"[5400, 958, 5541, 1079]","[2751, 4018, 2884, 4148]","[2751, 958, 5541, 4148]"
"[1710, 3025, 1881, 3119]","[1219, 2995, 1387, 3125]","[1219, 2995, 1881, 3125]"
"[504, 4863, 663, 4964]","[16331, 2726, 6483, 2797]","[504, 2726, 6483, 4964]"
"[2835, 2619, 2997, 2729]","[2901, 1668, 3122, 1805]","[2835, 1668, 3122, 2729]"
"[3673, 2314, 3825, 2385]","[1427, 2085, 1671, 2191]","[1427, 2085, 3825, 2385]"
"[3112, 3246, 3268, 3345]","[3313, 4047, 3478, 4156]","[3112, 3246, 3478, 4156]"
"[4113, 3622, 4357, 3723]","[5963, 986, 6132, 1085]","[4113, 986, 6132, 3723]"
"[5446, 4242, 5709, 4339]","[3870, 1116, 4095, 1532]","[3870, 1116, 5709, 4339]"
"[1419, 3015, 1667, 3116]","[6910, 2692, 7054, 2817]","[1419, 2692, 7054, 3116]"
"[3030, 2605, 3276, 2706]","[3021, 4018, 3276, 4149]","[3021, 2605, 3276, 4149]"
"[710, 2094, 955, 2188]","[3125, 1690, 3365, 1789]","[710, 1690, 3365, 2188]"
"[5684, 952, 5937, 1093]","[702, 3006, 950, 3115]","[702, 952, 5937, 3115]"
"[6511, 2702, 6773, 2799]","[5956, 3017, 6139, 3126]","[5956, 2702, 6773, 3126]"
"[1693, 2042, 1874, 2202]","[5445, 2948, 5581, 3080]","[1693, 2042, 5581, 3080]"
"[2837, 3602, 2992, 3746]","[1441, 555, 1564, 670]","[1441, 555, 2992, 3746]"
"[3527, 2994, 3673, 3128]","[2850, 4828, 3002, 4975]","[2850, 2994, 3673, 4975]"
"[2704, 2095, 2849, 2233]","[4702, 4424, 4850, 4563]","[2704, 2095, 4850, 4563]"
"[3412, 926, 3482, 1074]","[6309, 743, 6499, 958]","[3412, 743, 6499, 1074]"
"[4467, 3220, 4677, 3474]","[1294, 3371, 1506, 3627]","[1294, 3220, 4677, 3627]"
"[1017, 2673, 1113, 3009]","[1996, 691, 2213, 891]","[1017, 691, 2213, 3009]"
"[4464, 4390, 4673, 4645]","[1305, 4447, 1507, 4694]","[1305, 4390, 4673, 4694]"
"[5135, 1433, 5334, 1680]","[1301, 202, 1511, 457]","[1301, 202, 5334, 1680]"
